business_age_years,num_employees,gst_filing_rate,avg_monthly_revenue,revenue_growth_6m,cash_flow_volatility,upi_txn_volume_monthly,vendor_payment_delay_days,utility_payment_ontime_rate,bank_balance_avg,loan_amount,loan_tenure_months,interest_rate,previous_loans_count,previous_default_count,default,financial_health_score,loan_to_revenue_ratio,payment_behavior_score,is_mature_business,digital_adoption_score,revenue_stress,high_risk_loan,balance_to_loan_ratio,repeat_defaulter,monthly_emi_burden,industry_Construction,industry_Food,industry_Manufacturing,industry_Retail,industry_Services,industry_Technology,location_tier_Tier1,location_tier_Tier2,location_tier_Tier3
1,36,0.555949513892948,4985520.640720061,-0.3211853608559658,0.1494256334492696,3356,88,0.730440809594731,870535.4604839367,741215,36,19.07007279373525,4,1,0,0.5848,0.1487,0.3763,0,0.9532,1,0,1.1745,1,0.0041,False,True,False,False,False,False,False,True,False
12,73,0.3318345659142258,4773244.11515719,0.1142768245420743,0.8730101590412522,284,19,0.9233604301618928,1519486.997285202,3478948,12,17.254479288678823,4,2,1,0.4768,0.7288,0.8561,1,0.6636,0,0,0.4368,1,0.0607,True,False,False,False,False,False,True,False,False
12,150,0.7124406347346971,4705627.047575728,0.3664552459976986,0.298705363966718,775,23,0.6583201637403762,1173062.2303923464,2632163,24,19.220748185461257,4,0,0,0.6906,0.5594,0.7014,1,0.7812,0,0,0.4457,0,0.0233,False,False,False,False,True,False,False,True,False
17,1,0.8053467789502533,4065081.6401166697,0.2001526480736146,0.5680394121806203,958,2,0.662088555146011,1333445.7866832577,1744786,24,16.835763794646212,3,0,0,0.6404,0.4292,0.8199,1,0.8061,0,0,0.7642,0,0.0179,False,False,False,False,True,False,True,False,False
10,69,0.8414634331694721,1142035.9918335355,-0.3768058595731572,0.1554381500686455,4429,85,0.6276082940357736,1727208.6599763485,727365,36,12.20203822149722,1,2,1,0.6404,0.6369,0.3416,1,0.9858,1,0,2.3746,1,0.0177,False,False,False,False,True,False,False,True,False
16,37,0.4048714002322723,2686532.082942471,0.5723386783438807,0.2925438391962308,1564,71,0.4172970010931941,1732720.2548425791,633471,12,20.19217289181008,4,2,1,0.5823,0.2358,0.3142,1,0.8636,0,0,2.7353,1,0.0196,False,True,False,False,False,False,False,False,True
15,72,0.6109113506187502,1160298.0027836242,-0.1017363069241016,0.4135595391383948,2502,56,0.8741700015122217,414981.5414811752,4064517,12,20.640805451506576,4,1,1,0.6101,3.503,0.626,1,0.9187,1,0,0.1021,1,0.2919,True,False,False,False,False,False,False,False,True
15,107,0.4238042484657409,1335393.5051652987,-0.1507221336336179,0.4883439890147128,3451,70,0.6740711220346569,1250456.0422169731,4413768,12,21.740129342635637,3,1,0,0.4917,3.3052,0.4481,1,0.9565,1,0,0.2833,1,0.2754,False,False,False,True,False,False,False,False,True
19,96,0.7634891441979741,3074211.258709573,0.0856598756065795,0.0500607478819169,3372,69,0.7186393830422355,1436115.3134729036,1507187,60,23.28818851615722,1,2,0,0.7256,0.4903,0.476,1,0.9538,0,0,0.9528,1,0.0082,False,False,False,False,False,True,False,False,True
12,141,0.4105624606952376,252126.0494976637,0.1421581075233489,0.8497901861424215,3552,69,0.553411070083983,300247.3769890937,1754344,12,20.086894981978453,4,2,1,0.4352,6.9582,0.3934,1,0.9599,0,1,0.1711,1,0.5799,False,False,True,False,False,False,True,False,False
3,84,0.9329145787692524,4848819.905762503,0.3662881375898253,0.0569073286029894,2445,75,0.8704710952400917,1687111.9757472477,1141084,48,9.345521768765726,0,2,0,0.8475,0.2353,0.5186,0,0.916,0,0,1.4785,1,0.0049,False,False,False,True,False,False,True,False,False
5,43,0.4614442519629893,4597432.204260924,-0.0067263423410108,0.7463161066949825,113,62,0.8762491280226689,369135.0254025493,883246,36,8.822997858970739,4,0,0,0.5134,0.1921,0.5937,1,0.5561,0,0,0.4179,0,0.0053,False,True,False,False,False,False,False,True,False
19,37,0.5039815864017714,1934799.4821807127,0.0399603764622121,0.4735210211207338,4459,85,0.7317524901110556,1600566.0523169658,3423911,12,19.96799539592013,3,2,0,0.5588,1.7696,0.3937,1,0.9866,0,0,0.4675,1,0.1475,False,False,False,False,False,True,False,False,True
7,25,0.8956344255056998,2601341.11763422,0.1349599159338309,0.5214920224112387,960,46,0.9427767554800984,331316.8556806644,2301015,36,9.368789956371772,3,1,0,0.7232,0.8845,0.7158,1,0.8063,0,0,0.144,1,0.0246,False,False,False,False,False,True,False,False,True
9,149,0.6209273271020066,2357291.1253754077,-0.0056129002583593,0.2374389314010868,3365,89,0.4695305384359851,1486139.2882538922,947645,36,13.397141273591512,0,0,0,0.5819,0.402,0.2403,1,0.9535,0,0,1.5682,0,0.0112,False,False,False,False,False,True,True,False,False
7,169,0.3167971620600511,4416888.904156475,0.514548079101156,0.5966315153111337,3494,88,0.8719759987861596,304814.4779844609,4626665,48,10.610478256621484,1,2,1,0.5773,1.0475,0.4471,1,0.9579,0,0,0.0659,1,0.0218,False,False,False,False,True,False,False,True,False
18,73,0.646210375841852,3458579.287764749,0.4512519666342521,0.5335087182525069,322,18,0.7351504853923987,763870.3286083527,3314010,12,23.51794851823353,0,0,1,0.6519,0.9582,0.7676,1,0.6783,0,0,0.2305,0,0.0798,False,False,True,False,False,False,True,False,False
4,170,0.3591803347660861,1426650.6747505644,0.0549736950778783,0.1978127659582658,345,12,0.5386079002218696,295597.10560942313,3239468,36,13.404109408163954,4,0,0,0.5342,2.2707,0.7026,0,0.6864,0,0,0.0912,0,0.0631,False,True,False,False,False,False,False,False,True
14,42,0.9897413030811176,2261864.20960322,-0.3998051376626829,0.2643071012142972,4449,88,0.4793822695911369,548723.0416899931,2244251,12,9.354777076639984,3,0,1,0.63,0.9922,0.2508,1,0.9863,1,0,0.2445,0,0.0827,False,True,False,False,False,False,False,True,False
18,2,0.7116780993189216,2173381.5796494805,0.5009344955292806,0.1102132661112114,2079,44,0.5806042241937031,1969184.4069334343,4681946,48,23.21891690899619,1,1,1,0.7327,2.1542,0.5459,1,0.897,0,0,0.4206,1,0.0449,False,False,False,False,False,True,True,False,False
9,196,0.4795728323276849,4798709.083005398,-0.2756634265605348,0.1096552148805074,642,31,0.9137895508608712,224274.55557807352,730589,60,17.93553786831035,4,0,1,0.6133,0.1522,0.7847,1,0.7592,1,0,0.307,0,0.0025,False,True,False,False,False,False,False,True,False
2,136,0.6946023756833324,917789.0070474662,-0.1554875848059538,0.0623982073571839,4501,29,0.8725716098056816,818865.0045715974,4514492,60,9.059690565609094,0,1,0,0.6971,4.9189,0.7752,0,0.9877,1,0,0.1814,1,0.082,False,False,True,False,False,False,False,True,False
15,96,0.3538069723672283,493402.8696074238,-0.2476387156346018,0.2484268929347753,4468,84,0.787079455490824,1357069.4883621903,1998557,60,21.417096118239208,4,1,0,0.5267,4.0506,0.4269,1,0.9868,1,0,0.679,1,0.0675,False,False,True,False,False,False,False,False,True
7,61,0.859923912988172,4409063.219200367,-0.2201844300189762,0.6616951046573502,2395,41,0.4541962046702065,198251.1550905988,377637,60,10.864194897405298,0,1,0,0.5334,0.0857,0.4993,1,0.9136,1,0,0.525,1,0.0014,True,False,False,False,False,False,True,False,False
12,14,0.9477296377049144,4488595.6480540605,0.4028775378898347,0.3345938493281206,3993,71,0.9728983838459824,226975.64496487143,4960386,24,20.93776223399921,2,1,0,0.8224,1.1051,0.592,1,0.9736,0,0,0.0458,1,0.046,True,False,False,False,False,False,False,False,True
8,113,0.9121110717443116,4365108.485165215,0.1795014416659242,0.3584608428806389,3198,41,0.5832640794252443,295093.11632251047,3480029,36,17.84265206620318,2,0,0,0.6955,0.7972,0.5639,1,0.9475,0,0,0.0848,0,0.0221,False,False,False,True,False,False,False,True,False
15,77,0.539230321608994,2579335.732346504,0.5560951631253485,0.1687148539299002,3941,6,0.7641999900070351,1293522.8922857165,1314180,24,11.245285826864688,3,2,0,0.7143,0.5095,0.8488,1,0.9721,0,0,0.9843,1,0.0212,False,False,True,False,False,False,False,False,True
3,21,0.528037683750358,3315734.919933829,-0.1685464876762835,0.567923600890778,4286,2,0.8818611224832604,1819580.4667786208,4446947,12,20.16526981767297,1,2,0,0.5459,1.3412,0.9298,0,0.9819,1,0,0.4092,1,0.1118,False,False,True,False,False,False,False,False,True
14,152,0.32456132785141,2838647.0854268703,0.0856349081312339,0.3579292773920635,2371,36,0.4797135006752548,1653719.0133976166,990317,60,15.544827121856006,3,2,1,0.4846,0.3489,0.5399,1,0.9124,0,0,1.6699,1,0.0058,False,False,True,False,False,False,True,False,False
17,178,0.7559802510906417,393766.7389692846,0.57742836908247,0.6586851230871932,3007,2,0.7913180453535238,1966279.9263214085,2709168,12,18.3905645662198,4,2,0,0.6899,6.8801,0.8845,1,0.9403,0,1,0.7258,1,0.5733,True,False,False,False,False,False,True,False,False
4,173,0.6744333489328564,2999382.739658576,0.4264435142747697,0.7173135219582981,4694,17,0.4193775980225275,1160494.3903527935,3053367,48,21.977469562381344,2,2,1,0.5567,1.018,0.6152,0,0.9926,0,0,0.3801,1,0.0212,False,False,False,False,False,True,False,False,True
18,192,0.6215424599291389,117390.02891769935,0.328615679120491,0.5762235877235439,1570,41,0.4610735869026047,1923339.8361901897,702359,36,12.534620789149784,3,2,0,0.5627,5.9831,0.5028,1,0.8641,0,1,2.7384,1,0.1662,False,False,False,False,False,True,True,False,False
8,64,0.9353416673342948,1658687.6773075764,-0.2110247986292081,0.2984625831308326,797,8,0.8338861806562852,616818.9887787495,3130840,48,14.172555780935362,0,2,0,0.706,1.8875,0.8725,1,0.7845,1,0,0.197,1,0.0393,False,True,False,False,False,False,False,False,True
4,154,0.4175152307579924,4664848.250572177,0.3694054009097161,0.5077470194035288,3709,56,0.4930492933436765,848794.1417536709,1468663,36,23.95771267082442,1,2,1,0.5277,0.3148,0.4354,0,0.9649,0,0,0.5779,1,0.0087,False,False,False,False,False,True,False,False,True
2,160,0.3067663866831276,1555024.0846972477,-0.0524348774040822,0.276737724214073,2405,23,0.6661040339832269,798122.322252598,1963777,48,16.37577428742341,2,1,1,0.512,1.2629,0.7053,0,0.9141,0,0,0.4064,1,0.0263,False,False,False,False,True,False,False,False,True
6,57,0.3513215164845358,4702141.881089027,0.1305368970467576,0.8626215518185263,359,6,0.5489995304664215,104241.38575501955,4741306,48,17.156791453148173,1,0,0,0.4123,1.0083,0.7412,1,0.6911,0,0,0.022,0,0.021,True,False,False,False,False,False,True,False,False
10,119,0.4563600064791582,1288163.087888759,0.2091612130395401,0.7397471750743015,4206,88,0.6527377052019653,1661113.4843957112,4497455,36,12.924297367385826,1,1,1,0.5009,3.4914,0.3375,1,0.9797,0,0,0.3693,1,0.097,False,False,True,False,False,False,False,True,False
4,181,0.3232998844844199,1607083.0902845855,0.209363711524254,0.4937053154050095,3900,41,0.4463321441748825,59189.195497813584,890965,12,14.948422415350764,2,2,0,0.4689,0.5544,0.4954,0,0.9708,0,0,0.0664,1,0.0462,False,False,False,False,False,True,False,True,False
18,161,0.6519905974501948,3160617.10737084,0.3265234719135164,0.9189114288603318,4518,57,0.8529403264245936,1462453.7396591734,2067502,48,16.274052081187758,0,2,1,0.5814,0.6541,0.6098,1,0.9881,0,0,0.7074,1,0.0136,True,False,False,False,False,False,True,False,False
12,52,0.5198633186635047,3820053.515307009,0.2617020926422055,0.5420799020571692,4022,84,0.4474247064364687,820058.9174839754,1617539,36,12.50589325901336,0,2,1,0.5263,0.4234,0.257,1,0.9745,0,0,0.507,1,0.0118,False,False,False,False,False,True,False,False,True
2,95,0.4263381056476928,2531869.451624176,-0.3316291206894102,0.3456819292612533,4742,55,0.902748698416282,22432.95499304912,2419000,36,12.191255422732231,0,0,1,0.5396,0.9554,0.6458,0,0.9938,1,0,0.0093,0,0.0265,False,False,False,True,False,False,False,False,True
10,146,0.8250588524640634,4416472.651611069,0.0573470259491072,0.1359205707146423,2257,57,0.7975653185017367,586994.3366969709,507951,48,17.807235645893833,1,1,0,0.7384,0.115,0.5821,1,0.9066,0,0,1.1556,1,0.0024,False,False,True,False,False,False,False,True,False
4,163,0.443115928362771,249190.08697256527,0.2640216067199792,0.5393710803320722,569,17,0.6499513453985699,698794.1148784664,2471166,12,11.346597386954071,0,0,0,0.5447,9.9168,0.7305,0,0.745,0,1,0.2828,0,0.8264,False,False,False,True,False,False,False,False,True
14,140,0.7813235706956552,4614864.451240134,-0.1040070178342713,0.824374950423211,3458,38,0.9198919260822952,1929757.9174094307,2543748,60,17.078594889424657,4,1,1,0.5879,0.5512,0.7488,1,0.9567,1,0,0.7586,1,0.0092,False,False,True,False,False,False,True,False,False
16,179,0.5444854340933472,1021723.6094822696,-0.0869433127836103,0.8300468553408038,1307,49,0.5116787672057971,1325547.4042388375,720960,24,19.446317366102257,4,1,1,0.4366,0.7056,0.4836,1,0.8425,0,0,1.8386,1,0.0294,True,False,False,False,False,False,False,True,False
15,89,0.6582794324637882,4426981.788169047,-0.2754324522453845,0.5941103600144736,1755,32,0.5587385364488953,1091707.4670972193,138828,60,11.572993136818967,0,2,1,0.4991,0.0314,0.6016,1,0.8771,1,0,7.8637,1,0.0005,False,True,False,False,False,False,False,False,True
8,10,0.9537069278959238,2034272.738457584,0.0186149859748553,0.4040945269107914,2595,27,0.482274196995524,262830.6227632895,1394441,48,20.061109957218434,0,1,0,0.6545,0.6855,0.5911,1,0.923,0,0,0.1885,1,0.0143,False,False,False,False,False,True,False,False,True
14,52,0.326146144371069,4172147.426561637,0.5868304343061747,0.6352666772816118,262,55,0.628941215974021,788297.6356305055,2036990,48,14.075107809600588,2,1,1,0.5346,0.4882,0.5089,1,0.6542,0,0,0.387,1,0.0102,False,False,False,False,False,True,False,True,False
8,34,0.6501851552342233,3374744.471528291,-0.1146806387119626,0.7359263191031356,1600,24,0.9920399108404524,81171.06366473233,2172519,36,23.88382033675568,2,0,1,0.5791,0.6438,0.8627,1,0.8663,1,0,0.0374,0,0.0179,False,False,False,False,True,False,False,False,True
16,115,0.8980960722293327,920911.0807673974,0.131436892686098,0.4204623059547135,1051,13,0.4966164266804168,1525753.9827600117,895435,12,23.67569055656091,3,1,1,0.6544,0.9723,0.6761,1,0.817,0,0,1.7039,1,0.081,False,False,False,True,False,False,False,True,False
13,195,0.7115819738592439,4594335.47091317,0.3432372527790843,0.4786287522934327,2237,54,0.8985858915194792,333925.63736555824,1892779,12,20.87821681953753,1,0,1,0.699,0.412,0.6493,1,0.9056,0,0,0.1764,0,0.0343,False,False,False,False,False,True,True,False,False
18,167,0.4938093618756096,1265311.0829178754,-0.3865027291157293,0.6625546766401487,2599,83,0.7911280430038432,1192927.044883338,3293341,48,13.812172036207542,1,1,0,0.4659,2.6028,0.4345,1,0.9232,1,0,0.3622,1,0.0542,True,False,False,False,False,False,True,False,False
15,136,0.578376794601524,1258493.5875402454,0.5004395595982989,0.8389873454924718,4082,83,0.4094884783671157,1401789.161130074,2004989,12,23.02675712880192,2,0,0,0.5127,1.5932,0.2436,1,0.9762,0,0,0.6992,0,0.1328,False,True,False,False,False,False,False,False,True
13,125,0.7761859401100022,4080185.5383550334,-0.0134498152750615,0.7619093403280474,3589,6,0.96693411576262,739353.1641369014,1080643,24,23.981074580727935,4,2,0,0.6218,0.2649,0.9501,1,0.9611,0,0,0.6842,1,0.011,True,False,False,False,False,False,True,False,False
9,157,0.923568326019662,574072.6150839791,0.4691159867109822,0.0701522323883138,1645,3,0.9826547591349908,1268860.3726778892,3448945,12,15.665317756597563,3,1,1,0.8799,6.0079,0.9747,1,0.8695,0,1,0.3679,1,0.5007,False,False,False,True,False,False,False,True,False
15,150,0.3287464616226281,1149077.7365337787,-0.361052341100522,0.161935109406129,1716,29,0.954940421116926,1530823.3946768984,1105528,12,18.026135403897516,2,0,0,0.5531,0.9621,0.8164,1,0.8745,1,0,1.3847,0,0.0802,False,False,False,False,True,False,False,True,False
13,198,0.3500771753232635,2543203.9884342584,-0.2543364481363241,0.8175003622569695,53,61,0.7010437946242203,376406.3522609165,3526007,36,8.592798546247652,3,0,1,0.3936,1.3864,0.5116,1,0.4683,1,0,0.1068,0,0.0385,False,False,False,False,False,True,False,False,True
1,189,0.5275360665267113,4160861.291998791,-0.0774705455224408,0.8004405452405302,172,56,0.5322251094855274,1205712.0543865946,1366768,48,9.174764760127436,1,2,1,0.443,0.3285,0.455,0,0.605,0,0,0.8822,1,0.0068,True,False,False,False,False,False,False,True,False
7,43,0.4629457791062352,780045.674949474,-0.0545382269367212,0.3999261048338382,1858,36,0.6347588064822889,1470427.439527329,3657146,12,16.25926606998832,1,2,1,0.5277,4.6884,0.6174,1,0.8838,0,0,0.4021,1,0.3907,False,False,True,False,False,False,True,False,False
9,177,0.4854516203556842,2760957.760836114,0.4477942230280165,0.575850130121899,3859,54,0.7685149278497387,720525.6979390855,2798769,48,17.944365045820007,1,0,0,0.6013,1.0137,0.5843,1,0.9696,0,0,0.2574,0,0.0211,False,True,False,False,False,False,True,False,False
1,29,0.4548889990381166,3570640.929424551,-0.3887988846117648,0.8652604841857816,3746,84,0.6273018285504699,333357.404651925,4733340,12,13.342091539643365,4,0,1,0.3806,1.3256,0.347,0,0.9661,1,0,0.0704,0,0.1105,True,False,False,False,False,False,False,True,False
12,106,0.4370775341986104,4309946.362343959,0.2411117764696795,0.8704028129063867,2073,64,0.8249029905218097,579370.8820376027,4631464,12,10.036512215937286,2,0,0,0.5082,1.0746,0.5569,1,0.8967,0,0,0.1251,0,0.0895,False,True,False,False,False,False,False,False,True
8,120,0.3914367768085042,4681049.523000987,-0.2686875638214497,0.7547835611848017,396,51,0.8773453286659111,1866818.58701126,4668186,12,20.625218304390778,3,1,0,0.4516,0.9973,0.6553,1,0.7026,1,0,0.3999,1,0.0831,False,False,False,False,False,True,False,True,False
11,81,0.9537678922566666,3933967.576621216,0.4232156507110494,0.238630044523711,2955,2,0.5256357391888347,721321.4299842147,3923162,36,14.99078059540551,2,1,0,0.757,0.9973,0.7517,1,0.9383,0,0,0.1839,1,0.0277,False,False,True,False,False,False,False,False,True
19,31,0.4009326247343071,3281500.571198909,0.3785732659579123,0.7072545266185504,1454,76,0.6429651449696803,224324.16964017524,4681649,12,18.55715008428804,1,0,0,0.5142,1.4267,0.3993,1,0.855,0,0,0.0479,0,0.1189,False,False,False,False,True,False,True,False,False
17,181,0.4430826423358753,2196419.422298191,0.0999210274112005,0.1409885891123509,233,6,0.974646625615636,174625.75022216447,4137678,60,18.57811852825788,1,2,0,0.6646,1.8838,0.954,1,0.6405,0,0,0.0422,1,0.0314,False,False,False,False,True,False,False,False,True
8,162,0.4723860067865499,604945.2632326771,-0.1873127744876248,0.8545446135091121,3257,69,0.5498840807575828,369185.1808302491,2359278,24,16.97599958762611,2,2,1,0.4027,3.9,0.3916,1,0.9497,1,0,0.1565,1,0.1625,False,False,True,False,False,False,False,True,False
3,128,0.9531104111912942,3563199.10300133,0.2344953909655562,0.184233923220843,356,69,0.6078684931566574,263749.54802260594,1598528,12,11.266588346040582,0,2,1,0.7558,0.4486,0.4206,0,0.6901,0,0,0.165,1,0.0374,False,True,False,False,False,False,True,False,False
3,38,0.8289998935207592,4964049.65715366,-0.2437416823423543,0.6461137761003057,2277,33,0.4213963023111834,995136.8833147011,481461,60,18.04926082150425,0,1,1,0.5172,0.097,0.5274,0,0.9077,1,0,2.0669,1,0.0016,False,False,False,False,False,True,False,True,False
1,185,0.8527896012208602,3696964.9439238943,-0.2099762074073465,0.5992189468271139,4042,15,0.5994196246621608,701627.3739094617,1388535,48,13.492302143563736,2,2,1,0.5744,0.3756,0.7164,0,0.975,1,0,0.5053,1,0.0078,True,False,False,False,False,False,False,False,True
5,101,0.3733307816769486,132719.91400174508,0.2266899022253576,0.7492096902916248,238,7,0.6225588388624615,1684397.2528196955,1815520,36,21.196440702236814,1,2,1,0.4707,13.6793,0.7724,1,0.643,0,1,0.9278,1,0.38,False,False,True,False,False,False,False,False,True
10,132,0.8854169125109701,2506486.8913071016,0.5912284460886243,0.54641975212261,270,20,0.4599013357760934,1763346.2795381232,3537706,48,11.494551165598091,3,0,0,0.687,1.4114,0.6188,1,0.6577,0,0,0.4984,0,0.0294,False,False,False,True,False,False,True,False,False
7,130,0.5857351572721925,3092500.830790374,0.4910608372525462,0.1036099178381589,862,10,0.4008653499909743,951825.9818966818,4658954,36,13.012800416730256,0,2,0,0.6588,1.5065,0.6449,1,0.7937,0,0,0.2043,1,0.0418,False,True,False,False,False,False,False,False,True
9,12,0.4839761183486721,3463887.295459073,0.193107357683677,0.6852616286397342,503,49,0.7452432906212261,1778168.938083543,2260985,48,15.324742477630725,2,1,0,0.5362,0.6527,0.6004,1,0.7306,0,0,0.7865,1,0.0136,False,False,False,False,True,False,True,False,False
7,35,0.7030250584642174,3612642.886223508,0.1385367687674237,0.3948391029517411,881,86,0.5809159607972313,906418.6610747096,4090213,48,19.97020351814613,4,1,0,0.6189,1.1322,0.3127,1,0.7963,0,0,0.2216,1,0.0236,False,False,True,False,False,False,True,False,False
9,198,0.8755280340717138,2812636.784021794,0.5983848800081085,0.3382565010971988,2263,5,0.4106943023560552,1287504.6266512636,268928,24,19.67163394591128,2,0,0,0.7169,0.0956,0.6776,1,0.907,0,0,4.7875,0,0.004,False,False,False,False,True,False,False,True,False
8,110,0.8450565057524364,1155633.647034489,0.1473971476338936,0.9425061945803612,4199,14,0.9159665823803076,333444.31696902413,4624493,24,13.725204282736025,1,0,0,0.6203,4.0017,0.8802,1,0.9795,0,0,0.0721,0,0.1667,False,True,False,False,False,False,False,True,False
12,72,0.9229982378067924,4713893.274308906,0.0201165219594439,0.581359789363755,1649,10,0.7506458062399846,114639.29802553222,2765253,24,16.416656478665153,2,1,0,0.6638,0.5866,0.8198,1,0.8698,0,0,0.0415,1,0.0244,False,False,False,False,True,False,False,False,True
2,149,0.9496925302108106,3498499.0149351265,0.5095555357753414,0.6896471659424701,2397,26,0.5027010102950923,328569.5010455467,3115728,48,12.130636307635246,0,0,1,0.674,0.8906,0.6069,0,0.9137,0,0,0.1055,0,0.0186,False,False,True,False,False,False,False,True,False
1,110,0.4666854499994246,1222358.1825035769,-0.1658157041307117,0.5236935232420835,3329,78,0.919147973764586,511172.0193323588,4456752,36,20.4406618011544,0,1,0,0.5442,3.646,0.5262,0,0.9523,1,0,0.1147,1,0.1013,False,True,False,False,False,False,True,False,False
16,61,0.5967005259184901,1645493.069737851,-0.302474009703191,0.7429753813564874,2956,44,0.5521515822837882,1504453.9671502872,1561304,24,11.549003214940605,2,2,0,0.4455,0.9488,0.5316,1,0.9383,1,0,0.9636,1,0.0395,False,False,False,True,False,False,False,True,False
5,163,0.310239977443549,4613541.96962033,0.2340900343618303,0.7268654619499777,4624,37,0.5364674389217536,355275.43249832647,3552429,36,21.199877158895674,3,1,1,0.4401,0.77,0.5627,1,0.9908,0,0,0.1,1,0.0214,False,False,True,False,False,False,True,False,False
3,48,0.915525161485542,4443051.6742013125,-0.304150366231251,0.6414315041121444,2652,3,0.9367804341983614,270002.8441167037,2381494,36,23.02139356171232,2,1,0,0.6381,0.536,0.9517,0,0.9256,1,0,0.1134,1,0.0149,True,False,False,False,False,False,True,False,False
